group_site_sp.code;pheno_study.num_transect_run;pheno_tree.num_pheno_tree;yl_index;ml_index;fl_index;urf_index;rf_index;fruit_ground_quantity;yl_nb_estimation;ml_nb_estimation;fl_nb_estimation;urf_nb_estimation;rf_nb_estimation;id_vocabulary_fruit_ground_maturity;comment
SBL;WP55;CAF-W04;;;;;;;;;;;;;
SBL;WP55;BOS-W03;;;;;;;;;;;;;
SBL;WP55;MMS-W02;;;;;;;;;;;;;
SBL;WP55;FCP-W03;;;;;;;;;;;;;
SBL;WP55;TEC-W02;;;;;;;;;;;;;
SBL;WP55;PAN-W01;;;;;;;;;;;;;
SBL;WP55;CDU-W01;;;;;;;;;;;;;
SBL;WP55;TEC-W03;;;;;;;;;;;;;
SBL;WP55;COA-W01;;;;;;;;;;;;;
SBL;WP55;CYB-W01;;;;;;;;;;;;;
SBL;WP55;CHT-W02;;;;;;;;;;;;;
SBL;WP55;FST-W01;;;;;;;;;;;;;
SBL;WP55;FNA-W02;;;;;;;;;;;;;
SBL;WP55;FCP-W04;;;;;;;;;;;;;
SBL;WP55;FUR-W01;;;;;;;;;;;;;
SBL;WP55;FEX-W02;;;;;;;;;;;;;
SBL;WP55;PAF-W01;;;;;;;;;;;;;
SBL;WP55;PSD-W01;;;;;;;;;;;;;
SBL;WP55;CNP-W03;;;;;;;;;;;;;
SBL;WP55;ANI-W01;;;;;;;;;;;;;
SBL;WP55;ANI-W02;;;;;;;;;;;;;
SBL;WP55;FNA-W03;;;;;;;;;;;;;
SBL;WP55;FMU-1;;;;;;;;;;;;;
SBL;WP55;FMU-2;;;;;;;;;;;;;
SBL;WP55;FMU-3;;;;;;;;;;;;;
SBL;WP55;FMU-4;;;;;;;;;;;;;
SBL;WP55;FMU-5;;;;;;;;;;;;;
SBL;OP55;DPT-O01;;;;;;;;;;;;;
